"@timestamp",message
"Sep 23, 2022 @ 20:53:42.364","Sep 23 20:53:41 mail saslauthd[18737]: auth_zimbra: pacificdesk@uhtasi.org auth failed: authentication failed for [pacificdesk@uhtasi.org]"
"Sep 23, 2022 @ 20:52:54.349","Sep 23 20:52:47 mail saslauthd[18740]: auth_zimbra: lance auth failed: authentication failed for [lance]"
"Sep 23, 2022 @ 20:52:34.343","Sep 23 20:52:33 mail saslauthd[18739]: auth_zimbra: lance@uhtasi.org auth failed: authentication failed for [lance@uhtasi.org]"
"Sep 23, 2022 @ 20:52:07.332","Sep 23 20:52:06 mail saslauthd[18736]: auth_zimbra: thomasp auth failed: authentication failed for [thomasp]"
"Sep 23, 2022 @ 20:51:56.324","Sep 23 20:51:49 mail saslauthd[18737]: auth_zimbra: thomasp@uhtasi.org auth failed: authentication failed for [thomasp@uhtasi.org]"
"Sep 23, 2022 @ 20:48:55.258","Sep 23 20:48:52 mail saslauthd[18737]: auth_zimbra: stephanie auth failed: authentication failed for [stephanie]"
"Sep 23, 2022 @ 20:48:22.241","Sep 23 20:48:21 mail saslauthd[18736]: auth_zimbra: stephanie@uhtasi.org auth failed: authentication failed for [stephanie@uhtasi.org]"
"Sep 23, 2022 @ 20:46:44.206","Sep 23 20:46:43 mail saslauthd[18738]: auth_zimbra: lance auth failed: authentication failed for [lance]"
"Sep 23, 2022 @ 20:45:52.777","Sep 23 20:45:51 mail saslauthd[18737]: auth_zimbra: lance@uhtasi.org auth failed: authentication failed for [lance@uhtasi.org]"
"Sep 23, 2022 @ 20:34:19.161","Sep 23 20:34:11 mail saslauthd[18740]: auth_zimbra: jordan auth failed: authentication failed for [jordan]"
"Sep 23, 2022 @ 20:33:48.080","Sep 23 20:33:46 mail saslauthd[18737]: auth_zimbra: jordan@uhtasi.org auth failed: authentication failed for [jordan@uhtasi.org]"
"Sep 23, 2022 @ 20:29:55.736","Sep 23 20:29:53 mail saslauthd[18737]: auth_zimbra: lance auth failed: authentication failed for [lance]"
"Sep 23, 2022 @ 20:29:31.236","Sep 23 20:29:31 mail saslauthd[18739]: auth_zimbra: lance@uhtasi.org auth failed: authentication failed for [lance@uhtasi.org]"
"Sep 23, 2022 @ 20:29:18.225","Sep 23 20:29:11 mail saslauthd[18740]: auth_zimbra: thomasp auth failed: authentication failed for [thomasp]"
"Sep 23, 2022 @ 20:28:41.217","Sep 23 20:28:38 mail saslauthd[18737]: auth_zimbra: thomasp@uhtasi.org auth failed: authentication failed for [thomasp@uhtasi.org]"
"Sep 23, 2022 @ 20:25:43.010","Sep 23 20:25:42 mail saslauthd[18740]: auth_zimbra: stephanie auth failed: authentication failed for [stephanie]"
"Sep 23, 2022 @ 20:25:28.004","Sep 23 20:25:21 mail saslauthd[18737]: auth_zimbra: stephanie@uhtasi.org auth failed: authentication failed for [stephanie@uhtasi.org]"
"Sep 23, 2022 @ 20:24:48.987","Sep 23 20:24:45 mail saslauthd[18739]: auth_zimbra: peacesat auth failed: authentication failed for [peacesat]"
"Sep 23, 2022 @ 20:24:25.979","Sep 23 20:24:25 mail saslauthd[18736]: auth_zimbra: peacesat@uhtasi.org auth failed: authentication failed for [peacesat@uhtasi.org]"
"Sep 23, 2022 @ 20:23:04.946","Sep 23 20:22:57 mail saslauthd[18739]: auth_zimbra: editor auth failed: authentication failed for [editor]"
"Sep 23, 2022 @ 20:22:41.939","Sep 23 20:22:40 mail saslauthd[18740]: auth_zimbra: editor@uhtasi.org auth failed: authentication failed for [editor@uhtasi.org]"
"Sep 23, 2022 @ 20:11:33.535","Sep 23 20:11:30 mail saslauthd[18740]: auth_zimbra: editor auth failed: authentication failed for [editor]"
"Sep 23, 2022 @ 20:10:59.522","Sep 23 20:10:59 mail saslauthd[18736]: auth_zimbra: editor@uhtasi.org auth failed: authentication failed for [editor@uhtasi.org]"
"Sep 23, 2022 @ 20:06:44.931","Sep 23 20:06:42 mail saslauthd[18737]: auth_zimbra: editor auth failed: authentication failed for [editor]"
"Sep 23, 2022 @ 20:06:32.926","Sep 23 20:06:31 mail saslauthd[18738]: auth_zimbra: editor@uhtasi.org auth failed: authentication failed for [editor@uhtasi.org]"
"Sep 23, 2022 @ 20:05:58.901","Sep 23 20:05:58 mail saslauthd[18740]: auth_zimbra: editor auth failed: authentication failed for [editor]"
"Sep 23, 2022 @ 20:05:41.895","Sep 23 20:05:40 mail saslauthd[18736]: auth_zimbra: editor@uhtasi.org auth failed: authentication failed for [editor@uhtasi.org]"
"Sep 23, 2022 @ 20:02:35.770","Sep 23 20:02:33 mail saslauthd[18740]: auth_zimbra: editor auth failed: authentication failed for [editor]"
"Sep 23, 2022 @ 20:02:24.762","Sep 23 20:02:19 mail saslauthd[18736]: auth_zimbra: editor@uhtasi.org auth failed: authentication failed for [editor@uhtasi.org]"
"Sep 23, 2022 @ 19:59:38.587","Sep 23 19:59:36 mail saslauthd[18736]: auth_zimbra: lance auth failed: authentication failed for [lance]"
"Sep 23, 2022 @ 19:59:24.580","Sep 23 19:59:24 mail saslauthd[18737]: auth_zimbra: lance@uhtasi.org auth failed: authentication failed for [lance@uhtasi.org]"
"Sep 23, 2022 @ 19:48:19.332","Sep 23 19:48:18 mail saslauthd[18739]: auth_zimbra: jordan auth failed: authentication failed for [jordan]"
"Sep 23, 2022 @ 19:48:05.321","Sep 23 19:48:04 mail saslauthd[18738]: auth_zimbra: jordan@uhtasi.org auth failed: authentication failed for [jordan@uhtasi.org]"
"Sep 23, 2022 @ 19:43:41.629","Sep 23 19:43:38 mail saslauthd[18736]: auth_zimbra: lance auth failed: authentication failed for [lance]"
"Sep 23, 2022 @ 19:43:26.622","Sep 23 19:43:25 mail saslauthd[18737]: auth_zimbra: lance@uhtasi.org auth failed: authentication failed for [lance@uhtasi.org]"
"Sep 23, 2022 @ 19:43:18.616","Sep 23 19:43:17 mail saslauthd[18739]: auth_zimbra: thomasp auth failed: authentication failed for [thomasp]"
"Sep 23, 2022 @ 19:42:56.607","Sep 23 19:42:56 mail saslauthd[18738]: auth_zimbra: thomasp@uhtasi.org auth failed: authentication failed for [thomasp@uhtasi.org]"
"Sep 23, 2022 @ 19:39:47.369","Sep 23 19:39:46 mail saslauthd[18740]: auth_zimbra: info auth failed: authentication failed for [info]"
"Sep 23, 2022 @ 19:39:45.368","Sep 23 19:39:45 mail saslauthd[18738]: auth_zimbra: stephanie auth failed: authentication failed for [stephanie]"
"Sep 23, 2022 @ 19:39:40.340","Sep 23 19:39:38 mail saslauthd[18740]: auth_zimbra: info@uhtasi.org auth failed: authentication failed for [info@uhtasi.org]"
"Sep 23, 2022 @ 19:39:17.309","Sep 23 19:39:16 mail saslauthd[18738]: auth_zimbra: stephanie@uhtasi.org auth failed: authentication failed for [stephanie@uhtasi.org]"
"Sep 23, 2022 @ 19:36:56.171","Sep 23 19:36:55 mail saslauthd[18737]: auth_zimbra: admin auth failed: authentication failed for [admin]"
"Sep 23, 2022 @ 19:36:30.042","Sep 23 19:36:29 mail saslauthd[18738]: auth_zimbra: admin@uhtasi.org auth failed: authentication failed for [admin@uhtasi.org]"
"Sep 23, 2022 @ 19:31:34.975","Sep 23 19:31:32 mail saslauthd[18736]: auth_zimbra: peacesat auth failed: authentication failed for [peacesat]"
"Sep 23, 2022 @ 19:31:18.963","Sep 23 19:31:17 mail saslauthd[18738]: auth_zimbra: peacesat@uhtasi.org auth failed: authentication failed for [peacesat@uhtasi.org]"
"Sep 23, 2022 @ 19:25:11.061","Sep 23 19:25:07 mail saslauthd[18738]: auth_zimbra: admin auth failed: authentication failed for [admin]"
"Sep 23, 2022 @ 19:25:00.054","Sep 23 19:24:58 mail saslauthd[18737]: auth_zimbra: admin@uhtasi.org auth failed: authentication failed for [admin@uhtasi.org]"
"Sep 23, 2022 @ 19:20:27.831","Sep 23 19:20:26 mail saslauthd[18740]: auth_zimbra: admin auth failed: authentication failed for [admin]"
"Sep 23, 2022 @ 19:20:16.826","Sep 23 19:20:13 mail saslauthd[18739]: auth_zimbra: admin@uhtasi.org auth failed: authentication failed for [admin@uhtasi.org]"
"Sep 23, 2022 @ 19:19:38.806","Sep 23 19:19:37 mail saslauthd[18738]: auth_zimbra: admin auth failed: authentication failed for [admin]"
"Sep 23, 2022 @ 19:19:28.800","Sep 23 19:19:25 mail saslauthd[18737]: auth_zimbra: admin@uhtasi.org auth failed: authentication failed for [admin@uhtasi.org]"
"Sep 23, 2022 @ 19:16:24.763","Sep 23 19:16:23 mail saslauthd[18739]: auth_zimbra: admin auth failed: authentication failed for [admin]"
"Sep 23, 2022 @ 19:16:09.756","Sep 23 19:16:08 mail saslauthd[18736]: auth_zimbra: admin@uhtasi.org auth failed: authentication failed for [admin@uhtasi.org]"
"Sep 23, 2022 @ 19:13:55.584","Sep 23 19:13:54 mail saslauthd[18739]: auth_zimbra: sales auth failed: authentication failed for [sales]"
"Sep 23, 2022 @ 19:13:31.572","Sep 23 19:13:30 mail saslauthd[18736]: auth_zimbra: sales@uhtasi.org auth failed: authentication failed for [sales@uhtasi.org]"
"Sep 23, 2022 @ 19:02:05.760","Sep 23 19:02:04 mail saslauthd[18738]: auth_zimbra: sales auth failed: authentication failed for [sales]"
